"Fund Category","Fund Name","AmfiCode","Plan Name","NAV Date","NAV Amount"
"ETF","HDFC NIFTY IT ETF","150801","HDFC NIFTY IT ETF - Growth Option","25 Nov, 2025","38.8763"
"ETF","HDFC BSE 500 ETF","151376","HDFC S&P BSE 500 ETF - Growth Option","25 Nov, 2025","37.9399"
"ETF","HDFC NIFTY Midcap 150 ETF","151374","HDFC NIFTY Midcap 150 ETF - Growth Option","25 Nov, 2025","22.3559"
"ETF","HDFC NIFTY Smallcap 250 ETF","151375","HDFC NIFTY Smallcap 250 ETF - Growth Option","25 Nov, 2025","167.4326"
"ETF","HDFC Nifty 1D Rate Liquid ETF - Growth","153403","HDFC NIFTY 1D RATE LIQUID ETF - GROWTH","25 Nov, 2025","1,037.5200"
"ETF","HDFC NIFTY PSU Bank ETF","152350","HDFC NIFTY PSU BANK ETF Growth Option","25 Nov, 2025","85.5136"
"Tax Saver","HDFC Long Term Advantage Fund","100997","HDFC Long Term Advantage Fund - IDCW","14 Jan, 2022","51.7220"
"Tax Saver","HDFC Long Term Advantage Fund","118928","HDFC Long Term Advantage Fund - Direct Plan - IDCW","14 Jan, 2022","57.5150"
"Tax Saver","HDFC Long Term Advantage Fund","100998","HDFC Long Term Advantage Fund - Growth","14 Jan, 2022","595.1680"
"Tax Saver","HDFC Long Term Advantage Fund","118929","HDFC Long Term Advantage Fund - Direct Plan - Growth Option","14 Jan, 2022","625.3850"
"Tax Saver","HDFC ELSS Tax Saver","101980","HDFC TaxSaver - Regular Plan - IDCW Option","25 Nov, 2025","77.7150"
"Tax Saver","HDFC ELSS Tax Saver","119059","HDFC Tax Saver - Direct Plan - IDCW Option","25 Nov, 2025","105.4980"
"Tax Saver","HDFC ELSS Tax Saver","101979","HDFC TaxSaver - Regular Plan - Growth Option","25 Nov, 2025","1,454.0930"
"Tax Saver","HDFC ELSS Tax Saver","119060","HDFC Tax Saver - Direct Plan - Growth Option","25 Nov, 2025","1,573.6980"
"Index","HDFC BSE Sensex Index Fund","101281","HDFC Index Fund -  S&P BSE Sensex Plan - Regular Plan - Growth Option","25 Nov, 2025","785.0274"
